#Container_ID	Start_Node_ID	End_Node_ID	Order	Bottom Price	From	To	Release time	Due time	Expected transport time	Priority	Bid price	Transport Together?
1	126	574	1	13912	1	24	6	23	17	5	15112	Yes
2	481	970	2	14140	6	20	20	39	19	5	14540	Yes
3	232	619	3	13339	7	19	10	25	15	5	15339	Yes
4	402	893	4	13062	2	18	17	36	19	5	13462	Yes
5	402	793	4	13062	2	18	17	32	15	5	15062	Yes
6	9	395	5	13140	9	20	1	16	15	5	15140	Yes
7	9	495	5	13140	9	20	1	20	19	5	13540	Yes
8	533	922	6	13967	8	22	22	37	15	5	15967	Yes
9	32	499	7	14702	7	24	2	20	18	5	15502	Yes
10	129	571	8	14710	4	21	6	23	17	5	15910	Yes
11	4	496	9	14710	4	21	1	20	19	5	15110	Yes
12	333	746	10	13229	8	21	14	30	16	5	14829	Yes
13	282	722	11	13887	7	22	12	29	17	5	15087	Yes
14	333	822	12	13967	8	22	14	33	19	5	14367	Yes
15	203	667	13	14555	3	17	9	27	18	5	15355	Yes
16	203	692	13	14555	3	17	9	28	19	5	14955	Yes
17	178	696	14	14005	3	21	8	28	20	5	14005	Yes
18	178	596	14	14005	3	21	8	24	16	5	15605	Yes
19	80	496	15	13797	5	21	4	20	16	5	15397	Yes
20	80	471	15	13797	5	21	4	19	15	5	15797	Yes
21	280	774	16	14686	5	24	12	31	19	5	15086	Yes
22	280	699	16	14686	5	24	12	28	16	5	16286	Yes
23	479	970	17	14687	4	20	20	39	19	5	15087	Yes
24	479	920	17	14687	4	20	20	37	17	5	15887	Yes
25	479	895	17	14687	4	20	20	36	16	5	16287	Yes
26	304	773	18	14117	4	23	13	31	18	5	14917	Yes
27	576	972	19	13375	1	22	24	39	15	5	15375	Yes
28	558	999	20	13286	8	24	23	40	17	5	14486	Yes
29	434	917	21	14405	9	17	18	37	19	5	14805	Yes
30	483	971	22	13229	8	21	20	39	19	5	13629	Yes
31	483	896	22	13229	8	21	20	36	16	5	14829	Yes
32	152	550	23	13959	2	25	7	22	15	5	15959	Yes
33	431	942	24	13511	6	17	18	38	20	5	13511	Yes
34	456	969	25	14790	6	19	19	39	20	5	14790	Yes
35	456	894	25	14790	6	19	19	36	17	5	15990	Yes
36	208	721	26	13229	8	21	9	29	20	5	13229	Yes
37	377	893	27	13062	2	18	16	36	20	5	13062	Yes
38	377	896	28	14931	2	21	16	36	20	5	14931	Yes
39	328	725	29	14873	3	25	14	29	15	5	16873	Yes
40	328	800	29	14873	3	25	14	32	18	5	15673	Yes
41	356	799	30	13614	6	24	15	32	17	5	14814	Yes
42	356	849	30	13614	6	24	15	34	19	5	14014	Yes
43	129	550	31	14312	4	25	6	22	16	5	15912	Yes
44	434	842	32	14405	9	17	18	34	16	5	16005	Yes
45	557	971	33	14387	7	21	23	39	16	5	15987	Yes
46	531	946	34	14904	6	21	22	38	16	5	16504	Yes
47	52	494	35	13373	2	19	3	20	17	5	14573	Yes
48	332	794	36	13339	7	19	14	32	18	5	14139	Yes
49	259	722	37	13713	9	22	11	29	18	5	14513	Yes
50	259	647	37	13713	9	22	11	26	15	5	15713	Yes
51	254	674	38	13282	4	24	11	27	16	5	14882	Yes
52	176	624	39	13912	1	24	8	25	17	5	15112	Yes
53	176	649	39	13912	1	24	8	26	18	5	14712	Yes
54	329	747	40	14266	4	22	14	30	16	5	15866	Yes
55	7	447	41	13887	7	22	1	18	17	5	15087	Yes
56	182	696	42	14387	7	21	8	28	20	5	14387	Yes
57	534	998	43	14566	9	23	22	40	18	5	15366	Yes
58	356	870	44	14140	6	20	15	35	20	5	14140	Yes
59	356	770	44	14140	6	20	15	31	16	5	15740	Yes
60	255	699	45	14686	5	24	11	28	17	5	15886	Yes
61	233	744	46	13408	8	19	10	30	20	5	13408	Yes
62	233	694	46	13408	8	19	10	28	18	5	14208	Yes
63	30	499	47	14686	5	24	2	20	18	5	15486	Yes
64	30	449	47	14686	5	24	2	18	16	5	16286	Yes
65	482	993	48	14075	7	18	20	40	20	5	14075	Yes
66	482	943	48	14075	7	18	20	38	18	5	14875	Yes
67	381	850	49	13119	6	25	16	34	18	5	13919	Yes
68	376	873	50	13355	1	23	16	35	19	5	13755	Yes
69	484	949	51	13886	9	24	20	38	18	5	14686	Yes
70	305	772	52	14738	5	22	13	31	18	5	15538	Yes
71	177	646	53	14931	2	21	8	26	18	5	15731	Yes
72	501	994	54	13869	1	19	21	40	19	5	14269	Yes
73	209	672	55	13713	9	22	9	27	18	5	14513	Yes
74	78	574	56	14452	3	24	4	23	19	5	14852	Yes
75	608	992	57	13295	8	17	25	40	15	5	15295	Yes
76	57	572	58	13887	7	22	3	23	20	5	13887	Yes
77	57	447	58	13887	7	22	3	18	15	5	15887	Yes
78	406	922	59	14682	6	22	17	37	20	5	14682	Yes
79	431	847	60	14682	6	22	18	34	16	5	16282	Yes
80	259	743	61	13548	9	18	11	30	19	5	13948	Yes
81	51	472	62	13375	1	22	3	19	16	5	14975	Yes
82	276	694	63	13869	1	19	12	28	16	5	15469	Yes
83	280	773	64	13068	5	23	12	31	19	5	13468	Yes
84	280	723	64	13068	5	23	12	29	17	5	14268	Yes
85	408	893	65	13155	8	18	17	36	19	5	13555	Yes
86	481	972	66	14682	6	22	20	39	19	5	15082	Yes
87	127	518	67	13062	2	18	6	21	15	5	15062	Yes
