#Terminal (i)	Terminal (j)	From time (i)	To time (j)	Node (i)	Node (j)	Transport time [TA]	Container Cost [TA]	Train length [TA]	Train cost [TA]	Rail Line Daily Capacity [TA]
1	10	1	5	1	110	4	1781	50	5187	10
1	10	2	6	26	135	4	1781	50	5187	10
1	10	3	7	51	160	4	1781	50	5187	10
1	10	4	8	76	185	4	1781	50	5187	10
1	10	5	9	101	210	4	1781	50	5187	10
1	10	6	10	126	235	4	1781	50	5187	10
1	10	7	11	151	260	4	1781	50	5187	10
1	10	8	12	176	285	4	1781	50	5187	10
1	10	9	13	201	310	4	1781	50	5187	10
1	10	10	14	226	335	4	1781	50	5187	10
1	10	11	15	251	360	4	1781	50	5187	10
1	10	12	16	276	385	4	1781	50	5187	10
1	10	13	17	301	410	4	1781	50	5187	10
1	10	14	18	326	435	4	1781	50	5187	10
1	10	15	19	351	460	4	1781	50	5187	10
1	10	16	20	376	485	4	1781	50	5187	10
1	10	17	21	401	510	4	1781	50	5187	10
1	10	18	22	426	535	4	1781	50	5187	10
1	10	19	23	451	560	4	1781	50	5187	10
1	10	20	24	476	585	4	1781	50	5187	10
1	10	21	25	501	610	4	1781	50	5187	10
1	10	22	26	526	635	4	1781	50	5187	10
1	10	23	27	551	660	4	1781	50	5187	10
1	10	24	28	576	685	4	1781	50	5187	10
1	10	25	29	601	710	4	1781	50	5187	10
1	10	26	30	626	735	4	1781	50	5187	10
1	10	27	31	651	760	4	1781	50	5187	10
1	10	28	32	676	785	4	1781	50	5187	10
1	10	29	33	701	810	4	1781	50	5187	10
1	10	30	34	726	835	4	1781	50	5187	10
1	10	31	35	751	860	4	1781	50	5187	10
1	10	32	36	776	885	4	1781	50	5187	10
1	10	33	37	801	910	4	1781	50	5187	10
1	10	34	38	826	935	4	1781	50	5187	10
1	10	35	39	851	960	4	1781	50	5187	10
1	10	36	40	876	985	4	1781	50	5187	10
1	11	1	5	1	111	4	1539	50	5876	5
1	11	2	6	26	136	4	1539	50	5876	5
1	11	3	7	51	161	4	1539	50	5876	5
1	11	4	8	76	186	4	1539	50	5876	5
1	11	5	9	101	211	4	1539	50	5876	5
1	11	6	10	126	236	4	1539	50	5876	5
1	11	7	11	151	261	4	1539	50	5876	5
1	11	8	12	176	286	4	1539	50	5876	5
1	11	9	13	201	311	4	1539	50	5876	5
1	11	10	14	226	336	4	1539	50	5876	5
1	11	11	15	251	361	4	1539	50	5876	5
1	11	12	16	276	386	4	1539	50	5876	5
1	11	13	17	301	411	4	1539	50	5876	5
1	11	14	18	326	436	4	1539	50	5876	5
1	11	15	19	351	461	4	1539	50	5876	5
1	11	16	20	376	486	4	1539	50	5876	5
1	11	17	21	401	511	4	1539	50	5876	5
1	11	18	22	426	536	4	1539	50	5876	5
1	11	19	23	451	561	4	1539	50	5876	5
1	11	20	24	476	586	4	1539	50	5876	5
1	11	21	25	501	611	4	1539	50	5876	5
1	11	22	26	526	636	4	1539	50	5876	5
1	11	23	27	551	661	4	1539	50	5876	5
1	11	24	28	576	686	4	1539	50	5876	5
1	11	25	29	601	711	4	1539	50	5876	5
1	11	26	30	626	736	4	1539	50	5876	5
1	11	27	31	651	761	4	1539	50	5876	5
1	11	28	32	676	786	4	1539	50	5876	5
1	11	29	33	701	811	4	1539	50	5876	5
1	11	30	34	726	836	4	1539	50	5876	5
1	11	31	35	751	861	4	1539	50	5876	5
1	11	32	36	776	886	4	1539	50	5876	5
1	11	33	37	801	911	4	1539	50	5876	5
1	11	34	38	826	936	4	1539	50	5876	5
1	11	35	39	851	961	4	1539	50	5876	5
1	11	36	40	876	986	4	1539	50	5876	5
1	12	1	6	1	137	5	1797	50	5154	10
1	12	2	7	26	162	5	1797	50	5154	10
1	12	3	8	51	187	5	1797	50	5154	10
1	12	4	9	76	212	5	1797	50	5154	10
1	12	5	10	101	237	5	1797	50	5154	10
1	12	6	11	126	262	5	1797	50	5154	10
1	12	7	12	151	287	5	1797	50	5154	10
1	12	8	13	176	312	5	1797	50	5154	10
1	12	9	14	201	337	5	1797	50	5154	10
1	12	10	15	226	362	5	1797	50	5154	10
1	12	11	16	251	387	5	1797	50	5154	10
1	12	12	17	276	412	5	1797	50	5154	10
1	12	13	18	301	437	5	1797	50	5154	10
1	12	14	19	326	462	5	1797	50	5154	10
1	12	15	20	351	487	5	1797	50	5154	10
1	12	16	21	376	512	5	1797	50	5154	10
1	12	17	22	401	537	5	1797	50	5154	10
1	12	18	23	426	562	5	1797	50	5154	10
