#Node	Terminal	Time Period	Location	Terminal capacity	Storage Cost	Handling Cost	In Capacity	Out Capacity
1	1	1	OC	18	30	20	1100	110
2	2	1	OC	18	30	20	1100	110
3	3	1	OC	18	30	20	1100	110
4	4	1	OC	18	30	20	1100	55
5	5	1	OC	18	30	20	1100	55
6	6	1	OC	18	30	20	1100	55
7	7	1	OC	18	30	20	1100	55
8	8	1	OC	18	30	20	1100	55
9	9	1	OC	18	30	20	1100	55
10	10	1	TCO	13	80	50	22	19
11	11	1	TCO	14	80	50	11	19
12	12	1	TCO	7	80	50	11	12
13	13	1	TCO	5	80	50	11	6
14	14	1	TEI	16	100	50	25	25
15	15	1	TEI	2	100	50	19	17
16	16	1	TEI	1	100	50	6	8
17	17	1	DE	24	50	30	126	840
18	18	1	DE	24	50	30	84	840
19	19	1	DE	24	50	30	42	840
20	20	1	DE	24	50	30	42	840
21	21	1	DE	24	50	30	42	840
22	22	1	DE	24	50	30	42	840
23	23	1	DE	24	50	30	42	840
24	24	1	DE	24	50	30	42	840
25	25	1	DE	24	50	30	42	840
26	1	2	OC	18	30	20	1100	110
27	2	2	OC	18	30	20	1100	110
28	3	2	OC	18	30	20	1100	110
29	4	2	OC	18	30	20	1100	55
30	5	2	OC	18	30	20	1100	55
31	6	2	OC	18	30	20	1100	55
32	7	2	OC	18	30	20	1100	55
33	8	2	OC	18	30	20	1100	55
34	9	2	OC	18	30	20	1100	55
35	10	2	TCO	13	80	50	22	19
36	11	2	TCO	14	80	50	11	19
37	12	2	TCO	7	80	50	11	12
38	13	2	TCO	5	80	50	11	6
39	14	2	TEI	16	100	50	25	25
40	15	2	TEI	2	100	50	19	17
41	16	2	TEI	1	100	50	6	8
42	17	2	DE	24	50	30	126	840
43	18	2	DE	24	50	30	84	840
44	19	2	DE	24	50	30	42	840
45	20	2	DE	24	50	30	42	840
46	21	2	DE	24	50	30	42	840
47	22	2	DE	24	50	30	42	840
48	23	2	DE	24	50	30	42	840
49	24	2	DE	24	50	30	42	840
50	25	2	DE	24	50	30	42	840
